Run, Total, Start, End, Time
0, 10, 1760278097.642561, 1760278108.753844, 11.11128306388855
1, 10, 1760278108.753867, 1760278116.920917, 8.167050123214722
2, 10, 1760278116.920942, 1760278124.0783591, 7.157417058944702
3, 10, 1760278124.0783858, 1760278131.086609, 7.008223056793213
4, 10, 1760278131.086634, 1760278138.115633, 7.028999090194702
5, 10, 1760278138.115659, 1760278145.401741, 7.286082029342651
6, 10, 1760278145.401767, 1760278155.4053051, 10.003538131713867
7, 10, 1760278155.405331, 1760278162.726717, 7.321386098861694
8, 10, 1760278162.726739, 1760278170.3763468, 7.64960789680481
9, 10, 1760278170.376373, 1760278179.9343019, 9.557928800582886
Verification successful
8.22915153503418
