Run, Total, Start, End, Time
0, 10, 1760278666.20225, 1760278685.965728, 19.76347804069519
1, 10, 1760278685.96575, 1760278703.9481258, 17.982375860214233
2, 10, 1760278703.94815, 1760278721.3760772, 17.427927255630493
3, 10, 1760278721.376101, 1760278740.383262, 19.007160902023315
4, 10, 1760278740.383289, 1760278758.0048761, 17.62158703804016
5, 10, 1760278758.0049, 1760278775.1750588, 17.170158863067627
6, 10, 1760278775.175086, 1760278792.5109708, 17.33588480949402
7, 10, 1760278792.511004, 1760278810.55443, 18.043426036834717
8, 10, 1760278810.554456, 1760278828.19104, 17.636584043502808
9, 10, 1760278828.191066, 1760278846.113622, 17.922555923461914
Verification successful
Verification took 17.92 seconds.

17.99111387729645
